[2025-10-16T10:59:11.843Z] INFO: === Application Starting ===
[2025-10-16T10:59:11.845Z] INFO: NODE_ENV: production
[2025-10-16T10:59:11.846Z] INFO: NEXT_PUBLIC_NODE_ENV: production
[2025-10-16T10:59:11.846Z] INFO: PORT: 3001
[2025-10-16T10:59:11.846Z] INFO: Current directory: D:\inventory\TechiziBuilder\Utkrash\lxl-frontend
[2025-10-16T10:59:11.847Z] INFO: Node version: v20.19.3
[2025-10-16T10:59:11.847Z] INFO: Starting Next.js app with dev mode: false
[2025-10-16T10:59:18.107Z] INFO: Next.js app prepared successfully
[2025-10-16T10:59:18.125Z] INFO: > Server ready on http://0.0.0.0:3001
[2025-10-16T10:59:18.331Z] INFO: Request: GET /
[2025-10-16T10:59:21.760Z] INFO: Request: GET /_next/static/chunks/webpack-ebdb6c9e70ba8922.js
[2025-10-16T10:59:21.765Z] INFO: Request: GET /_next/static/chunks/pages/_app~f3956634-928cf70465df0c0a.js
[2025-10-16T10:59:21.774Z] INFO: Request: GET /_next/static/chunks/commons~2e3a7503-868dd8dd7bb39409.js
[2025-10-16T10:59:21.865Z] INFO: Request: GET /_next/static/chunks/commons~8a1c583f-31b13c4eb136aa4e.js
[2025-10-16T10:59:21.892Z] INFO: Request: GET /_next/static/YcZgO1yaOJIuKoCP75zU1/_buildManifest.js
[2025-10-16T10:59:21.896Z] INFO: Request: GET /_next/static/YcZgO1yaOJIuKoCP75zU1/_ssgManifest.js
[2025-10-16T10:59:21.979Z] INFO: Request: GET /.well-known/appspecific/com.chrome.devtools.json
[2025-10-16T10:59:27.349Z] INFO: Request: GET /site.webmanifest
[2025-10-16T10:59:27.390Z] INFO: Request: GET /images/favicon.ico
[2025-10-16T10:59:27.475Z] INFO: Request: GET /icon-192x192.png
[2025-10-16T10:59:27.522Z] INFO: Request: GET /icon-192x192.png
[2025-10-16T10:59:27.600Z] INFO: Request: GET /images/logo.png
[2025-10-16T10:59:27.609Z] INFO: Request: GET /images/favicon.ico
[2025-10-16T10:59:45.508Z] INFO: Request: GET /_next/data/YcZgO1yaOJIuKoCP75zU1/index.json
[2025-10-16T10:59:45.541Z] INFO: Request: GET /_next/data/YcZgO1yaOJIuKoCP75zU1/login.json
[2025-10-16T10:59:45.563Z] INFO: Server:==> FROM MIDDLEWARE!!
[2025-10-16T10:59:45.565Z] INFO: Server:==> No auth found in cookies
[2025-10-16T10:59:47.527Z] INFO: Request: GET /
[2025-10-16T10:59:48.625Z] INFO: Request: GET /.well-known/appspecific/com.chrome.devtools.json
[2025-10-16T10:59:49.603Z] INFO: Request: GET /_next/static/css/7d2771a07776b8ad.css
[2025-10-16T10:59:49.610Z] INFO: Request: GET /_next/static/css/f01457c3e7487e05.css
[2025-10-16T10:59:49.612Z] INFO: Request: GET /_next/static/media/70d2fd2b9078a5a3-s.p.woff2
[2025-10-16T10:59:49.614Z] INFO: Request: GET /_next/static/media/49c73d5444001430-s.p.woff2
[2025-10-16T10:59:49.689Z] INFO: Request: GET /_next/static/chunks/bootstrap~b14fbb65-920c7950adb2bf85.js
[2025-10-16T10:59:49.692Z] INFO: Request: GET /_next/static/chunks/bootstrap~3cd21699-0663faa849af8f73.js
[2025-10-16T10:59:49.820Z] INFO: Request: GET /_next/static/chunks/bootstrap~cd4b14bb-186cec9ce4215f26.js
[2025-10-16T10:59:49.839Z] INFO: Request: GET /_next/static/chunks/bootstrap~3c9e705b-11d4a02bd7568e62.js
[2025-10-16T10:59:49.842Z] INFO: Request: GET /_next/static/chunks/utils~e3924278-09c5298dd1116c8f.js
[2025-10-16T10:59:49.846Z] INFO: Request: GET /_next/static/chunks/utils~47b797e4-27983651f995e3c4.js
[2025-10-16T10:59:49.867Z] INFO: Request: GET /_next/static/chunks/utils~0f09c32a-0eaa2c4d7c3bfe5f.js
